Name,Team,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
Larry Fitzgerald*\FitzLa00,ARI,33,WR,16,16,150,107,71.3%,1023,9.6,6,33,6.7,63.9,2
Antonio Brown*+\BrowAn04,PIT,28,WR,15,15,154,106,68.8%,1284,12.1,12,51,7.1,85.6,0
Odell Beckham*\BeckOd00,NYG,24,WR,16,16,169,101,59.8%,1367,13.5,10,75,6.3,85.4,3
Julian Edelman\EdelJu00,NWE,30,WR,16,13,159,98,61.6%,1106,11.3,3,77,6.1,69.1,3
Jordy Nelson\NelsJo00,GNB,31,WR,16,16,152,97,63.8%,1257,13.0,14,60,6.1,78.6,1
Mike Evans*\EvanMi00,TAM,23,WR,16,16,173,96,55.5%,1321,13.8,12,45,6.0,82.6,0
Doug Baldwin*\BaldDo00,SEA,28,WR,16,15,125,94,75.2%,1128,12.0,7,59,5.9,70.5,1
Jarvis Landry*\LandJa00,MIA,24,WR,16,16,131,94,71.8%,1136,12.1,4,71,5.9,71.0,2
Michael Thomas\ThomMi05,NOR,23,WR,15,12,121,92,76.0%,1137,12.4,9,46,6.1,75.8,2
T.Y. Hilton*\HiltT.00,IND,27,WR,16,16,155,91,58.7%,1448,15.9,6,63,5.7,90.5,0
Golden Tate\TateGo00,DET,28,WR,16,16,135,91,67.4%,1077,11.8,4,67,5.7,67.3,2
Demaryius Thomas*\ThomDe03,DEN,29,WR,16,16,144,90,62.5%,1083,12.0,5,55,5.6,67.7,2
Michael Crabtree\CrabMi00,OAK,29,WR,16,16,145,89,61.4%,1003,11.3,8,56,5.6,62.7,2
Dennis Pitta\PittDe00,BAL,31,TE,16,12,121,86,71.1%,729,8.5,2,30,5.4,45.6,1
Travis Kelce*+\KelcTr00,KAN,27,TE,16,15,117,85,72.6%,1125,13.2,4,80,5.3,70.3,0
Stefon Diggs\DiggSt00,MIN,23,WR,13,11,112,84,75.0%,903,10.8,3,46,6.5,69.5,0
